,NAS _folder1,BioaccesioningId,SampleNaming,parentName,NAS_folder,group_name,imageGroupRid,rawImageKey,displayImageKey,title,imageMetadata,displayName,displayIdentifier,groupType,parentId,parentType,childId,childType,analyticId,analyticVersion,area,greenRing,greenAnnotation,redRing,redAnnotation,bftitle,redtitle,red_rawimagekey,greentitle,green_rawimagekey,title_0,title_1,title_2,title_3,parentId_check,title_5,6,well,channel,slice,row,column,WELL,s3_key,Day
46306,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day10 images/,Establishment Day 10,b201e2cd-817f-4a39-a0c2-b021e91676df,s3://xilishub-production/c6454d1d-ccb4-454d-be30-fd3bdbaacd45.tiff,s3://xilishub-production/c6454d1d-ccb4-454d-be30-fd3bdbaacd45.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 Live_Dead/Well_E6_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",b201e2cd-817f-4a39-a0c2-b021e91676df,group,c6454d1d-ccb4-454d-be30-fd3bdbaacd45,images,detect-objects-with-threshold,1.0.1,330.5,58496.0,3617.0,97355.0,7304.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_E6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_E6_Ch2_1um,s3://xilishub-production/31955fe6-9485-488f-b262-0aa0f2f9df16-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_E6_Ch1_1um,s3://xilishub-production/f0f36e73-8893-4040-9d4d-4ca75d7bdf6c-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day10 Live_Dead,Well_E6_Ch3_1um,E6,Ch3,1um,E,06,E06,c6454d1d-ccb4-454d-be30-fd3bdbaacd45.tiff,Day 10
47419,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day10 images/,Establishment Day 10,b201e2cd-817f-4a39-a0c2-b021e91676df,s3://xilishub-production/86068290-1304-4746-8076-05d5beb26ce8.tiff,s3://xilishub-production/86068290-1304-4746-8076-05d5beb26ce8.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 Live_Dead/Well_F6_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",b201e2cd-817f-4a39-a0c2-b021e91676df,group,86068290-1304-4746-8076-05d5beb26ce8,images,detect-objects-with-threshold,1.0.1,337.0,639032.0,55032.0,601222.0,26772.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_F6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_F6_Ch2_1um,s3://xilishub-production/f0c2d7b2-271a-4023-8250-43e86b25fda4-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_F6_Ch1_1um,s3://xilishub-production/4f310563-d78a-4b39-9cc7-3b1a7306bb85-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day10 Live_Dead,Well_F6_Ch3_1um,F6,Ch3,1um,F,06,F06,86068290-1304-4746-8076-05d5beb26ce8.tiff,Day 10
48458,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day10 images/,Establishment Day 10,b201e2cd-817f-4a39-a0c2-b021e91676df,s3://xilishub-production/5958078f-3827-43e2-a477-f8d1723d90b0.tiff,s3://xilishub-production/5958078f-3827-43e2-a477-f8d1723d90b0.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 Live_Dead/Well_G6_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",b201e2cd-817f-4a39-a0c2-b021e91676df,group,5958078f-3827-43e2-a477-f8d1723d90b0,images,detect-objects-with-threshold,1.0.1,365.5,572553.0,68340.0,384231.0,29992.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_G6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_G6_Ch2_1um,s3://xilishub-production/d122187d-21d0-4cac-88aa-b5abd89b2576-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day10 LiveDead/Well_G6_Ch1_1um,s3://xilishub-production/b8220903-60d5-4f45-975b-4525baedcd4c-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day10 Live_Dead,Well_G6_Ch3_1um,G6,Ch3,1um,G,06,G06,5958078f-3827-43e2-a477-f8d1723d90b0.tiff,Day 10
65505,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day2 Bright Field Only/,Establishment Day 2 BF Only,92e5d162-7e54-4112-b309-c8553d018fbf,s3://xilishub-production/705335db-cab2-468a-afc5-4fa1995b3aa8.tiff,s3://xilishub-production/705335db-cab2-468a-afc5-4fa1995b3aa8.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day2 Bright Field Only/Well_A1_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",92e5d162-7e54-4112-b309-c8553d018fbf,group,705335db-cab2-468a-afc5-4fa1995b3aa8,images,detect-objects-with-threshold,1.0.1,581.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day2 Bright Field Only,Well_A1_Ch1_1um,A1,Ch1,1um,A,01,A01,705335db-cab2-468a-afc5-4fa1995b3aa8.tiff,Day 02
66112,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day2 Bright Field Only/,Establishment Day 2 BF Only,92e5d162-7e54-4112-b309-c8553d018fbf,s3://xilishub-production/8b9d0609-e885-4b02-ae1f-1297fbbbf665.tiff,s3://xilishub-production/8b9d0609-e885-4b02-ae1f-1297fbbbf665.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day2 Bright Field Only/Well_B1_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",92e5d162-7e54-4112-b309-c8553d018fbf,group,8b9d0609-e885-4b02-ae1f-1297fbbbf665,images,detect-objects-with-threshold,1.0.1,362.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day2 Bright Field Only,Well_B1_Ch1_1um,B1,Ch1,1um,B,01,B01,8b9d0609-e885-4b02-ae1f-1297fbbbf665.tiff,Day 02
66653,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day2 Bright Field Only/,Establishment Day 2 BF Only,92e5d162-7e54-4112-b309-c8553d018fbf,s3://xilishub-production/a14f025d-2413-485f-b66a-3d25bd79c498.tiff,s3://xilishub-production/a14f025d-2413-485f-b66a-3d25bd79c498.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day2 Bright Field Only/Well_C1_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",92e5d162-7e54-4112-b309-c8553d018fbf,group,a14f025d-2413-485f-b66a-3d25bd79c498,images,detect-objects-with-threshold,1.0.1,301.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day2 Bright Field Only,Well_C1_Ch1_1um,C1,Ch1,1um,C,01,C01,a14f025d-2413-485f-b66a-3d25bd79c498.tiff,Day 02
67468,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day3 Bright Field Only/,Establishment Day 3 BF Only,a455c1c6-8a7e-4360-8548-9d29f3b014b7,s3://xilishub-production/3f4bf883-4973-42a5-ae54-6ce529ea5544.tiff,s3://xilishub-production/3f4bf883-4973-42a5-ae54-6ce529ea5544.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 Live_Dead/Well_D1_Ch3_1um,{},Establishment Day 3 BF Only,establishment_day_3_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",a455c1c6-8a7e-4360-8548-9d29f3b014b7,group,3f4bf883-4973-42a5-ae54-6ce529ea5544,images,detect-objects-with-threshold,1.0.1,396.5,174923.0,21034.0,214885.0,48854.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_D1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_D1_Ch2_1um,s3://xilishub-production/cf6ca126-6bcb-4ef4-98c9-9b61c7b57610-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_D1_Ch1_1um,s3://xilishub-production/27fa97a8-35be-4036-8504-4d66a8a45330-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day3 Live_Dead,Well_D1_Ch3_1um,D1,Ch3,1um,D,01,D01,3f4bf883-4973-42a5-ae54-6ce529ea5544.tiff,Day 03
68236,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day3 Bright Field Only/,Establishment Day 3 BF Only,a455c1c6-8a7e-4360-8548-9d29f3b014b7,s3://xilishub-production/7c53f33b-9511-4774-9367-d3930db22e95.tiff,s3://xilishub-production/7c53f33b-9511-4774-9367-d3930db22e95.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 Live_Dead/Well_F1_Ch3_1um,{},Establishment Day 3 BF Only,establishment_day_3_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",a455c1c6-8a7e-4360-8548-9d29f3b014b7,group,7c53f33b-9511-4774-9367-d3930db22e95,images,detect-objects-with-threshold,1.0.1,1056.0,94430.0,160817.0,68306.0,71519.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_F1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_F1_Ch2_1um,s3://xilishub-production/b27ef103-f7db-4e44-af6c-2950246f2259-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_F1_Ch1_1um,s3://xilishub-production/c841605f-9327-4810-a910-184d851ffea2-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day3 Live_Dead,Well_F1_Ch3_1um,F1,Ch3,1um,F,01,F01,7c53f33b-9511-4774-9367-d3930db22e95.tiff,Day 03
69127,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day3 Bright Field Only/,Establishment Day 3 BF Only,a455c1c6-8a7e-4360-8548-9d29f3b014b7,s3://xilishub-production/15d02900-be0a-4348-b06f-bf6bc43cc1a2.tiff,s3://xilishub-production/15d02900-be0a-4348-b06f-bf6bc43cc1a2.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 Live_Dead/Well_E1_Ch3_1um,{},Establishment Day 3 BF Only,establishment_day_3_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",a455c1c6-8a7e-4360-8548-9d29f3b014b7,group,15d02900-be0a-4348-b06f-bf6bc43cc1a2,images,detect-objects-with-threshold,1.0.1,1260.0,134195.0,139929.0,128641.0,58761.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_E1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_E1_Ch2_1um,s3://xilishub-production/c634b80f-60a7-4219-8a76-fb913426f313-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day3 LiveDead/Well_E1_Ch1_1um,s3://xilishub-production/1db7ac68-9766-49b1-ae7b-2ccb2e818285-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day3 Live_Dead,Well_E1_Ch3_1um,E1,Ch3,1um,E,01,E01,15d02900-be0a-4348-b06f-bf6bc43cc1a2.tiff,Day 03
70016,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day4 images/,Establishment Day 4,715f82e0-e084-4d2d-a146-47e7fa680538,s3://xilishub-production/951cc9ee-1d33-456d-86b6-3c238c7d8bd7.tiff,s3://xilishub-production/951cc9ee-1d33-456d-86b6-3c238c7d8bd7.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 Live_Dead/Well_A7_Ch3_1um,{},Establishment Day 4,establishment_day_4,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",715f82e0-e084-4d2d-a146-47e7fa680538,group,951cc9ee-1d33-456d-86b6-3c238c7d8bd7,images,detect-objects-with-threshold,1.0.1,903.5,122795.0,101626.0,68390.0,71431.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_A7_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_A7_Ch2_1um,s3://xilishub-production/a3889c49-bc49-44ae-841e-b1bf0e43cadf-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_A7_Ch1_1um,s3://xilishub-production/d5a5c756-f894-45b2-9a3d-e0f3cb46cc51-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day4 Live_Dead,Well_A7_Ch3_1um,A7,Ch3,1um,A,07,A07,951cc9ee-1d33-456d-86b6-3c238c7d8bd7.tiff,Day 04
70856,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day4 images/,Establishment Day 4,715f82e0-e084-4d2d-a146-47e7fa680538,s3://xilishub-production/d5a0f3ae-5bae-4ff8-b896-582ff08d4c23.tiff,s3://xilishub-production/d5a0f3ae-5bae-4ff8-b896-582ff08d4c23.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 Live_Dead/Well_B7_Ch3_1um,{},Establishment Day 4,establishment_day_4,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",715f82e0-e084-4d2d-a146-47e7fa680538,group,d5a0f3ae-5bae-4ff8-b896-582ff08d4c23,images,detect-objects-with-threshold,1.0.1,667.5,200262.0,106519.0,142915.0,49052.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_B7_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_B7_Ch2_1um,s3://xilishub-production/34e76e07-3d30-474f-a59f-f26fb46ccb31-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_B7_Ch1_1um,s3://xilishub-production/dfb7511f-38a8-4ae8-a0c6-e0cc9698c7d1-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day4 Live_Dead,Well_B7_Ch3_1um,B7,Ch3,1um,B,07,B07,d5a0f3ae-5bae-4ff8-b896-582ff08d4c23.tiff,Day 04
71553,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day4 images/,Establishment Day 4,715f82e0-e084-4d2d-a146-47e7fa680538,s3://xilishub-production/542e41dd-9412-4a31-b8d1-105691128ca8.tiff,s3://xilishub-production/542e41dd-9412-4a31-b8d1-105691128ca8.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 Live_Dead/Well_C7_Ch3_1um,{},Establishment Day 4,establishment_day_4,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",715f82e0-e084-4d2d-a146-47e7fa680538,group,542e41dd-9412-4a31-b8d1-105691128ca8,images,detect-objects-with-threshold,1.0.1,785.5,104214.0,120646.0,81364.0,29525.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_C7_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_C7_Ch2_1um,s3://xilishub-production/9742d362-1c0d-41b0-a55b-b053acdbe3cc-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day4 LiveDead/Well_C7_Ch1_1um,s3://xilishub-production/0ef6993c-db7e-4618-9c9a-20e6b45e1c7e-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day4 Live_Dead,Well_C7_Ch3_1um,C7,Ch3,1um,C,07,C07,542e41dd-9412-4a31-b8d1-105691128ca8.tiff,Day 04
72251,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day5 images/,Establishment Day 5,3afb04d5-8996-476a-8718-6b2db993aecb,s3://xilishub-production/06f4e93f-5e4a-4d25-9d04-2927d627ff1b.tiff,s3://xilishub-production/06f4e93f-5e4a-4d25-9d04-2927d627ff1b.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 Live_Dead/Well_F7_Ch3_1um,{},Establishment Day 5,establishment_day_5,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",3afb04d5-8996-476a-8718-6b2db993aecb,group,06f4e93f-5e4a-4d25-9d04-2927d627ff1b,images,detect-objects-with-threshold,1.0.1,1393.5,340337.0,258742.0,335889.0,136168.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_F7_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_F7_Ch2_1um,s3://xilishub-production/d13f8fb9-fa5c-4f15-bad6-83dd3c96a795-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_F7_Ch1_1um,s3://xilishub-production/4c1eb896-c50d-4d90-8788-7be348f56d71-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day5 Live_Dead,Well_F7_Ch3_1um,F7,Ch3,1um,F,07,F07,06f4e93f-5e4a-4d25-9d04-2927d627ff1b.tiff,Day 05
73155,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day5 images/,Establishment Day 5,3afb04d5-8996-476a-8718-6b2db993aecb,s3://xilishub-production/63c93438-5797-4e7a-8ca2-1e3f2214afbf.tiff,s3://xilishub-production/63c93438-5797-4e7a-8ca2-1e3f2214afbf.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 Live_Dead/Well_D7_Ch3_1um,{},Establishment Day 5,establishment_day_5,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",3afb04d5-8996-476a-8718-6b2db993aecb,group,63c93438-5797-4e7a-8ca2-1e3f2214afbf,images,detect-objects-with-threshold,1.0.1,1759.5,328875.0,256390.0,415247.0,155477.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_D7_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_D7_Ch2_1um,s3://xilishub-production/829aa612-9cc6-437b-8903-11d8d61997c8-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_D7_Ch1_1um,s3://xilishub-production/d50e8634-604c-4a6d-b9f9-ce50e9fed824-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day5 Live_Dead,Well_D7_Ch3_1um,D7,Ch3,1um,D,07,D07,63c93438-5797-4e7a-8ca2-1e3f2214afbf.tiff,Day 05
73850,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day5 images/,Establishment Day 5,3afb04d5-8996-476a-8718-6b2db993aecb,s3://xilishub-production/4033f76a-6abb-477e-bc9d-6cf03ce7f37e.tiff,s3://xilishub-production/4033f76a-6abb-477e-bc9d-6cf03ce7f37e.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 Live_Dead/Well_E7_Ch3_1um,{},Establishment Day 5,establishment_day_5,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",3afb04d5-8996-476a-8718-6b2db993aecb,group,4033f76a-6abb-477e-bc9d-6cf03ce7f37e,images,detect-objects-with-threshold,1.0.1,839.0,58001.0,107885.0,75103.0,58826.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_E7_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_E7_Ch2_1um,s3://xilishub-production/c6ac6226-4392-43b4-9c85-0c70faf71868-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day5 LiveDead/Well_E7_Ch1_1um,s3://xilishub-production/15cb1f45-f336-4f79-815c-11b217b2663a-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day5 Live_Dead,Well_E7_Ch3_1um,E7,Ch3,1um,E,07,E07,4033f76a-6abb-477e-bc9d-6cf03ce7f37e.tiff,Day 05
74517,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day6 Bright Field Only/,Establishment Day 6 BF Only,34d1a2be-710f-4490-a898-3da50438f992,s3://xilishub-production/111b3c76-ec1b-4342-b156-e06f5b9856a7.tiff,s3://xilishub-production/111b3c76-ec1b-4342-b156-e06f5b9856a7.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day6 Bright Field Only/Well_C1_Ch1_1um,{},Establishment Day 6 BF Only,establishment_day_6_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",34d1a2be-710f-4490-a898-3da50438f992,group,111b3c76-ec1b-4342-b156-e06f5b9856a7,images,detect-objects-with-threshold,1.0.1,2060.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day6 Bright Field Only,Well_C1_Ch1_1um,C1,Ch1,1um,C,01,C01,111b3c76-ec1b-4342-b156-e06f5b9856a7.tiff,Day 06
75277,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day6 Bright Field Only/,Establishment Day 6 BF Only,34d1a2be-710f-4490-a898-3da50438f992,s3://xilishub-production/1ff6a369-bed9-4657-bb0a-29b0ed9780f7.tiff,s3://xilishub-production/1ff6a369-bed9-4657-bb0a-29b0ed9780f7.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day6 Bright Field Only/Well_A1_Ch1_1um,{},Establishment Day 6 BF Only,establishment_day_6_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",34d1a2be-710f-4490-a898-3da50438f992,group,1ff6a369-bed9-4657-bb0a-29b0ed9780f7,images,detect-objects-with-threshold,1.0.1,251.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day6 Bright Field Only,Well_A1_Ch1_1um,A1,Ch1,1um,A,01,A01,1ff6a369-bed9-4657-bb0a-29b0ed9780f7.tiff,Day 06
76120,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day6 Bright Field Only/,Establishment Day 6 BF Only,34d1a2be-710f-4490-a898-3da50438f992,s3://xilishub-production/56d92b32-4883-48b5-a60b-0bb0cc291582.tiff,s3://xilishub-production/56d92b32-4883-48b5-a60b-0bb0cc291582.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day6 Bright Field Only/Well_B1_Ch1_1um,{},Establishment Day 6 BF Only,establishment_day_6_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",34d1a2be-710f-4490-a898-3da50438f992,group,56d92b32-4883-48b5-a60b-0bb0cc291582,images,detect-objects-with-threshold,1.0.1,666.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day6 Bright Field Only,Well_B1_Ch1_1um,B1,Ch1,1um,B,01,B01,56d92b32-4883-48b5-a60b-0bb0cc291582.tiff,Day 06
